ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0618170480,"A History of Western Society: From Antiquity to the Enlightenment, Chapters 1-17",John P. McKay,2002,Not Avail,http://images.amazon.com/images/P/0618170480.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618170480.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618170480.01.LZZZZZZZ.jpg
0064409066,"Shadow Girl (Nightmare Room, 8)",R. L. Stine,2001,Avon Books,http://images.amazon.com/images/P/0064409066.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064409066.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064409066.01.LZZZZZZZ.jpg
0964858401,North Carolina : A Guide to Backcountry Travel &amp; Adventure,James Bannon,1995,Out There Press,http://images.amazon.com/images/P/0964858401.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964858401.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964858401.01.LZZZZZZZ.jpg
075283472X,Michael Caine,Michael Freedland,0,Firebird Distributing,http://images.amazon.com/images/P/075283472X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/075283472X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/075283472X.01.LZZZZZZZ.jpg
0201409712,The Mother of All Windows 95 Books,Woody Leonhard,1995,Addison Wesley Publishing Company,http://images.amazon.com/images/P/0201409712.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0201409712.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0201409712.01.LZZZZZZZ.jpg
0060187689,The Mother Dance: How Children Change Your Life,Harriet Lerner,1998,HarperCollins Publishers,http://images.amazon.com/images/P/0060187689.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060187689.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060187689.01.LZZZZZZZ.jpg
0590934775,"Please Don't Feed the Vampire! (Give Yourself Goosebumps, No 15)",R. L. Stine,1997,Apple,http://images.amazon.com/images/P/0590934775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590934775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590934775.01.LZZZZZZZ.jpg
3777611859,"Mensch, Tier. Von Bestien, Biestern und Kuscheltieren.",Heide Platen,2002,"Hirzel, Stuttgart",http://images.amazon.com/images/P/3777611859.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3777611859.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3777611859.01.LZZZZZZZ.jpg
0764222171,"Legend of the Celtic Stone (Caledonia, 1)",Michael Phillips,1999,Bethany House Publishers,http://images.amazon.com/images/P/0764222171.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0764222171.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0764222171.01.LZZZZZZZ.jpg
0312867808,Starlight 3 (Starlight),Patrick Nielsen Hayden,2001,Tor Books,http://images.amazon.com/images/P/0312867808.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312867808.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312867808.01.LZZZZZZZ.jpg
044002661X,Evergreen: A novel,Belva Plain,1978,Delacorte Press,http://images.amazon.com/images/P/044002661X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044002661X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044002661X.01.LZZZZZZZ.jpg
0689857896,Mist and Stone,Diana G. Gallagher,2003,Simon Spotlight Entertainment,http://images.amazon.com/images/P/0689857896.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689857896.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689857896.01.LZZZZZZZ.jpg
0553232355,Star Trek 10,James Blish,1974,Bantam Books (Mm),http://images.amazon.com/images/P/0553232355.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553232355.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553232355.01.LZZZZZZZ.jpg
2890523667,Une Saison Dans La Vie Demmanuel,Marie Claire Blais,0,Boreal French,http://images.amazon.com/images/P/2890523667.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2890523667.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2890523667.01.LZZZZZZZ.jpg
3785708521,Die BrÃ?Â¼cken der Freiheit.,Ken Follett,1996,LÃ?Â¼bbe,http://images.amazon.com/images/P/3785708521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3785708521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3785708521.01.LZZZZZZZ.jpg
048629756X,The Titanic Coloring Book,Peter F. Copeland,1997,Dover Publications,http://images.amazon.com/images/P/048629756X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/048629756X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/048629756X.01.LZZZZZZZ.jpg
0711921393,Madonna: In Her Own Words,Mick St. Michael,1991,Music Sales Corp,http://images.amazon.com/images/P/0711921393.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0711921393.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0711921393.01.LZZZZZZZ.jpg
0394717767,Knots,Laing            rd,1972,Vintage Books USA,http://images.amazon.com/images/P/0394717767.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394717767.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394717767.01.LZZZZZZZ.jpg
0689841345,The Velveteen Rabbit,Margery Williams,2002,Atheneum/Anne Schwartz Books,http://images.amazon.com/images/P/0689841345.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689841345.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689841345.01.LZZZZZZZ.jpg
2264031719,Pleins feux,Patricia Wentworth,2000,Editions 10/18,http://images.amazon.com/images/P/2264031719.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2264031719.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2264031719.01.LZZZZZZZ.jpg
0517572427,Poets for Life: Seventy-Six Poets Respond to AIDS,Michael Klein,1989,Random House Inc,http://images.amazon.com/images/P/0517572427.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517572427.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517572427.01.LZZZZZZZ.jpg
840137569X,Manual Del Perfecto Idiota Latinamericano,Plino Apuleyo Mendoza,1996,"Plaza &amp; Janes Editores, S.A.",http://images.amazon.com/images/P/840137569X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/840137569X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/840137569X.01.LZZZZZZZ.jpg
0849916739,The Wounded Spirit,Frank Peretti,2000,W Publishing Group,http://images.amazon.com/images/P/0849916739.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0849916739.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0849916739.01.LZZZZZZZ.jpg
0893751979,L. Frank Baum's over the Rainbow (Wizard of Oz.),Corinne J. Naden,1980,Troll Communications Llc,http://images.amazon.com/images/P/0893751979.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0893751979.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0893751979.01.LZZZZZZZ.jpg
0806962585,The Great Book of Optical Illusions,Gyles Brandreth,1985,Sterling Publishing,http://images.amazon.com/images/P/0806962585.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806962585.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806962585.01.LZZZZZZZ.jpg
080549054X,The Healthy Marriage Handbook,Louise A. Ferrebee,2001,Broadman &amp; Holman Publishers,http://images.amazon.com/images/P/080549054X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080549054X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080549054X.01.LZZZZZZZ.jpg
0465043623,A Mathematician Reads the Newspaper,John Allen Paulos,1995,Perseus Books Group,http://images.amazon.com/images/P/0465043623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0465043623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0465043623.01.LZZZZZZZ.jpg
0385422938,Shot in the Heart,Mikal Gilmore,1994,Doubleday Books,http://images.amazon.com/images/P/0385422938.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385422938.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385422938.01.LZZZZZZZ.jpg
0553278819,Sitka,Louis L'Amour,1984,Bantam Books,http://images.amazon.com/images/P/0553278819.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278819.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278819.01.LZZZZZZZ.jpg
0962576301,Echoes of the Melody: A Spiritual Warrior's Handbook,Phil and Diane Dunn,1990,Blue Eagle Pub,http://images.amazon.com/images/P/0962576301.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0962576301.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0962576301.01.LZZZZZZZ.jpg
1569713006,Blade of the Immortal: Cry of the Worm,Hiroaki Samura,1998,Dark Horse Comics,http://images.amazon.com/images/P/1569713006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569713006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569713006.01.LZZZZZZZ.jpg
0806996978,Predicting the Future With Astrology: A Step-By-Step Guide,Sasha Fenton,1997,Sterling Publishing,http://images.amazon.com/images/P/0806996978.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806996978.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806996978.01.LZZZZZZZ.jpg
9500720663,El Camino Del Encuentro/the Meeting Road,Jorge Bucay,2001,Sudamericana,http://images.amazon.com/images/P/9500720663.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9500720663.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9500720663.01.LZZZZZZZ.jpg
0525947108,Breaking the Trust,Lucy Clare,2003,Dutton Books,http://images.amazon.com/images/P/0525947108.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525947108.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525947108.01.LZZZZZZZ.jpg
0691097186,The Collected Dialogues of Plato,Plato,1961,Princeton University Press,http://images.amazon.com/images/P/0691097186.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0691097186.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0691097186.01.LZZZZZZZ.jpg
0380815923,Blackberry Wine : A Novel,Joanne Harris,2001,Perennial,http://images.amazon.com/images/P/0380815923.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380815923.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380815923.01.LZZZZZZZ.jpg
0399141545,Drink With the Devil,Jack Higgins,1996,Putnam Pub Group,http://images.amazon.com/images/P/0399141545.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399141545.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399141545.01.LZZZZZZZ.jpg
0028621085,The Complete Idiot's Guide to Adoption (Complete Idiot's Guides),Christine A. Adamec,1998,Alpha Books,http://images.amazon.com/images/P/0028621085.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0028621085.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0028621085.01.LZZZZZZZ.jpg
0373764642,"The Tycoon's Lady  (The Baby Bank) (Silhouette Desire, No. 1464)",Katherine Garbera,2002,Silhouette,http://images.amazon.com/images/P/0373764642.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373764642.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373764642.01.LZZZZZZZ.jpg
044921835X,A Haiku for Hanae,James Melville,1990,Fawcett Books,http://images.amazon.com/images/P/044921835X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044921835X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044921835X.01.LZZZZZZZ.jpg
0553052446,Great Deliverance (Thomas Lynley and Barbara Havers Novels),Elizabeth George,1988,Bantam Dell Pub Group,http://images.amazon.com/images/P/0553052446.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553052446.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553052446.01.LZZZZZZZ.jpg
0553572385,Reba: My Story,Reba McEntire,1995,Bantam Books,http://images.amazon.com/images/P/0553572385.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572385.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572385.01.LZZZZZZZ.jpg
067172066X,Warrior's Apprentice,Lois McMaster Bujold,1991,Baen,http://images.amazon.com/images/P/067172066X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067172066X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067172066X.01.LZZZZZZZ.jpg
0449128067,Smile (Family Circus),Bil Keane,1991,Fawcett Books,http://images.amazon.com/images/P/0449128067.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449128067.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449128067.01.LZZZZZZZ.jpg
0947062025,Doctor Wooreddy's Prescription for Enduring the Ending of the World,Mudrooroo,1999,Hyland House Publishing,http://images.amazon.com/images/P/0947062025.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0947062025.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0947062025.01.LZZZZZZZ.jpg
1566194873,My Antonia,Willa Cather,0,Barnes Noble Classics,http://images.amazon.com/images/P/1566194873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1566194873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1566194873.01.LZZZZZZZ.jpg
1556618662,"The Shunning (Heritage of Lancaster County/Beverly Lewis, 1)",Beverly Lewis,1997,Bethany House Publishers,http://images.amazon.com/images/P/1556618662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556618662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556618662.01.LZZZZZZZ.jpg
0822001195,The Aeneid Notes (Cliffs Notes),Robert J. Milch,1991,John Wiley &amp; Sons,http://images.amazon.com/images/P/0822001195.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0822001195.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0822001195.01.LZZZZZZZ.jpg
0553492373,"Elizabeth: Next Stop, Jr. High: Next Stop, Jr. High (Sweet Valley Twins Diaries)",Jamie Suzanne,1998,Sweet Valley,http://images.amazon.com/images/P/0553492373.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553492373.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553492373.01.LZZZZZZZ.jpg
3257228295,Als ich alt war. TagebÃ?Â¼cher 1960-1963.,Georges Simenon,2002,Diogenes Verlag,http://images.amazon.com/images/P/3257228295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3257228295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3257228295.01.LZZZZZZZ.jpg
0451175433,The Hand That Rocks the Cradle,Robert Tine,1992,New Amer Library (Mm),http://images.amazon.com/images/P/0451175433.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451175433.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451175433.01.LZZZZZZZ.jpg
1590710231,Barranca (Eddie Caminetti Novels),Troon McAllister,2004,Rugged Land Books,http://images.amazon.com/images/P/1590710231.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1590710231.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1590710231.01.LZZZZZZZ.jpg
8436808452,Anorexia y Bulimia - Trastornos Alimentarios,Rosa Maria Raich,2001,Piramide,http://images.amazon.com/images/P/8436808452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8436808452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8436808452.01.LZZZZZZZ.jpg
3518370707,Der Schnupfen.,Stanislaw Lem,1998,Suhrkamp,http://images.amazon.com/images/P/3518370707.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3518370707.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3518370707.01.LZZZZZZZ.jpg
1852426373,The Winter Inside,Christopher Kenworthy,2001,Serpent's Tail,http://images.amazon.com/images/P/1852426373.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1852426373.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1852426373.01.LZZZZZZZ.jpg
1560252723,Venus: Masterpieces of Modern Erotic Photography,Michelle Olley,2000,Thunder's Mouth Press,http://images.amazon.com/images/P/1560252723.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1560252723.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1560252723.01.LZZZZZZZ.jpg
8434837978,Un Culete Independiente - P. 1 -,Jose Luis Cortes AVI,1995,S &amp; M Books,http://images.amazon.com/images/P/8434837978.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8434837978.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8434837978.01.LZZZZZZZ.jpg
0394513347,"Oh, What a Paradise It Seems",John Cheever,1982,Alfred A. Knopf,http://images.amazon.com/images/P/0394513347.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394513347.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394513347.01.LZZZZZZZ.jpg
0007121326,Witch: A Magickal Journey : A Hip Guide to Modern Witchcraft,Fiona Horne,2002,Thorsons Publishers,http://images.amazon.com/images/P/0007121326.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0007121326.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0007121326.01.LZZZZZZZ.jpg
1580083447,Classic Sourdoughs: A Home Baker's Handbook,Ed Wood,2001,Ten Speed Press,http://images.amazon.com/images/P/1580083447.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1580083447.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1580083447.01.LZZZZZZZ.jpg
2226093524,Milarepa,Eric-Emmanuel Schmitt,1997,A. Michel,http://images.amazon.com/images/P/2226093524.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2226093524.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2226093524.01.LZZZZZZZ.jpg
0140441409,Meditations (Penguin Classics),Marcus Aurelius,1964,Penguin Books,http://images.amazon.com/images/P/0140441409.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140441409.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140441409.01.LZZZZZZZ.jpg
0445403349,McBain's Ladies: The Women of the 87th Precinct,Ed McBain,1989,Warner Books,http://images.amazon.com/images/P/0445403349.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0445403349.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0445403349.01.LZZZZZZZ.jpg
0812702611,"Christ of the Revelation, His message to the church and the world",J. R Zurcher,1980,Southern Pub. Association,http://images.amazon.com/images/P/0812702611.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812702611.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812702611.01.LZZZZZZZ.jpg
0812510526,Why Me,Donald E. Westlake,1985,Tor Books,http://images.amazon.com/images/P/0812510526.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812510526.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812510526.01.LZZZZZZZ.jpg
0962363421,Church Social Work: Helping the Whole Person in the Context of the Church,Diana S. Garland,1992,North American Association of Christians in S,http://images.amazon.com/images/P/0962363421.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0962363421.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0962363421.01.LZZZZZZZ.jpg
1884731112,The Team Handbook,Peter R. Scholtes,1996,Joiner/Oriel Inc,http://images.amazon.com/images/P/1884731112.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1884731112.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1884731112.01.LZZZZZZZ.jpg
3800174871,Perser und Co. Langhaarkatzen und Exotic Shorthair.,Eva-Maria GÃ?Â¶tz,2000,Ulmer (Eugen),http://images.amazon.com/images/P/3800174871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3800174871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3800174871.01.LZZZZZZZ.jpg
0671552694,He's My Baby Now,Jeannette Eyerly,1985,Pocket Books,http://images.amazon.com/images/P/0671552694.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671552694.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671552694.01.LZZZZZZZ.jpg
0793835763,Homes and Shelters for Backyard Birds (T.F.H. Wild Birds Series),John Tyson,2000,TFH Publications,http://images.amazon.com/images/P/0793835763.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0793835763.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0793835763.01.LZZZZZZZ.jpg
0590431242,A Band of Angels,Julian R. Thompson,1989,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/0590431242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590431242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590431242.01.LZZZZZZZ.jpg
1555136389,Building your child's character from the inside out,Kay Kuzma,1989,LifeJourney Books,http://images.amazon.com/images/P/1555136389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1555136389.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1555136389.01.LZZZZZZZ.jpg
0140131914,The New Spaniards (Penguin Politics and Current Affairs),John Hooper,1995,Penguin Books,http://images.amazon.com/images/P/0140131914.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140131914.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140131914.01.LZZZZZZZ.jpg
081671634X,A Family of Dinosaurs,Mary Le Duc O'Neill,1989,Troll Communications,http://images.amazon.com/images/P/081671634X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081671634X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081671634X.01.LZZZZZZZ.jpg
0963237004,The Red Lion: The Elixir of Eternal Life,Maria Orsi,1987,Computer Composition,http://images.amazon.com/images/P/0963237004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0963237004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0963237004.01.LZZZZZZZ.jpg
0891740392,Holy Old MacKinaw: A Natural History of the American Lumberjack,Stewart Holbrook,1981,Comstock Publishing,http://images.amazon.com/images/P/0891740392.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0891740392.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0891740392.01.LZZZZZZZ.jpg
